PrevGroup,Subject,PrevCode,Match_25,Match_50,Match_75,Mismatch_25,Mismatch_50,Mismatch_75
Balanced,2,1,1038,1220,1193.5,1243.5,1144,918
Balanced,5,1,793,896,892,991.5,1033,1089
Balanced,8,1,784,975,892,975,1046,897.5
Balanced,11,1,956.5,1249,1203,1097,1213,1185
Balanced,14,1,1215,1659,1468,1318.5,1316,1112
Balanced,17,1,721,759.5,795,998,968,984
Balanced,20,1,1147,1581,1238,1386,1280.5,1028
Balanced,23,1,646,750,838,748,810,976
Balanced,26,1,611,717,647,605,742,634
Balanced,29,1,1355,1692,1562,1478.5,1612.5,1337
Balanced,35,1,1718.5,1452,1525,1255.5,1199,1109
Balanced,38,1,1063,1222,996,1121.5,1126,1038.5
Balanced,41,1,690,843,872,740.5,880.5,894
Balanced,44,1,1570,1965,1899.5,2134,1948,1704
Balanced,47,1,1374,1478,1319,1127,1168,1196.5
Balanced,50,1,1712,1891.5,1742,1585.5,1581,1461
Balanced,53,1,1198,1210.5,1374,1294,1471,1526.5
Balanced,59,1,1345,1344,1683.5,1561.5,1530.5,1558
Balanced,62,1,1356.5,1539.5,1675,1907,1823,1822
Balanced,65,1,754,789,894.5,815,1098,1359
Balanced,68,1,956,1152.5,1148,1178,1243,1042
Balanced,74,1,1509.5,1905,1584,1842,1593.5,1159.5
Balanced,77,1,1027.5,1185.5,1240,1129,1186,1066.5
Balanced,80,1,1022.5,1262,1124.5,1277,1294,1138.5
Balanced,83,1,1504,1795,1784,2033.5,2034,1794
Balanced,86,1,1013.5,1273,1208,1162.5,1218.5,1047
Balanced,89,1,909,1032.5,1206,1049.5,1087,835
Balanced,92,1,1422.5,1792.5,1724,1617.5,1669,1417
Balanced,95,1,703.5,935.5,719,726,971,729
Balanced,98,1,992,1270,1167,1213.5,1491,1106.5
Balanced,101,1,1019,1009,1122,1122,1108,1142
Balanced,104,1,958,984,958.5,921,958,875
Balanced,110,1,1379.5,1685,1561,1562.5,1547.5,1416
Balanced,116,1,1133,1199,1185.5,1255,1209,1146
Balanced,119,1,1902.5,1962,1607,1722,1790.5,1622.5
Balanced,122,1,858,1023.5,976,1007,1032,878
Balanced,125,1,1310,1417,1403.5,1399,1414,1252
Balanced,128,1,1133,1353,1313,1345,1395,1300
Balanced,131,1,798,1014,858,840.5,1035,809
Balanced,134,1,953,1191.5,1212,1139,1073,987
Balanced,137,1,691,756,931,1019,1004,924
Balanced,140,1,1117,1063,1217,1277,1097,1035.5
Balanced,143,1,1287,1491.5,1258,1320,1332,1116.5
Balanced,146,1,1093.5,1353,1508,1375,1276,1143
Balanced,149,1,1305.5,1523,1534,1760,1767,1757
Balanced,152,1,1019,1022,1035.5,983,964,951
Balanced,155,1,1004,1159,1194.5,1239,1089,913
Balanced,158,1,894,1174,1200.5,1217,1234,1131
Balanced,161,1,1304,1426.5,1327,1496,1424.5,1221.5
Balanced,164,1,1118,1389,1287,1410,1537,1285
Balanced,167,1,1164.5,1306.5,1147.5,1420,1439,1532
Balanced,170,1,1183,1227,1303,1180,1132,992
Balanced,174,1,1399,1475.5,1495,1316.5,1312,1158
Balanced,177,1,1162,1034.5,1143,1108.5,1179.5,1506
High,7,2,930.5,1095,1130.5,1472,1672.5,1961.5
High,10,2,1064,1138.5,1204,1424,1567,1723.5
High,13,2,1308.5,1697.5,1323,1595,1893,1440.5
High,16,2,693,876,1077.5,1014,1468,2093.5
High,19,2,969.5,1309,1408,1652,2048.5,2247
High,22,2,764,867,857.5,946,1286,1362
High,25,2,1203,1226.5,1184.5,1271,1606.5,1355.5
High,28,2,908,1171.5,1351.5,1677,1482.5,1504.5
High,31,2,902.5,1078.5,1095,1639,1744.5,1624
High,34,2,767,978.5,1037,1402.5,1284,1649
High,37,2,1187.5,1384,1510,1445,1600,1791.5
High,40,2,1423,1410,1541.5,1545.5,1595,1572.5
High,43,2,867,828,885,1166,1211,1338
High,46,2,1012,1261,1205,1633,1731,1758.5
High,49,2,1193,1270,1051,1028.5,1063.5,945
High,52,2,928,1239,1250.5,1688.5,2114,2113
High,55,2,690,920,1047,1026,1632.5,2015.5
High,64,2,894,1084.5,1101.5,1404,1529,1477
High,67,2,739,787.5,776,1213,1198,1156
High,70,2,744,803,924.5,1036,1225,1081.5
High,73,2,834.5,1136.5,1153.5,1150,1564,1384
High,76,2,877,1172,1062,1076,1379,1181.5
High,79,2,1351.5,1185.5,1119.5,1422.5,1086,1032
High,82,2,1313,1335,1157.5,1216,1343.5,956
High,85,2,795,1034,1323,1147,2019,2507
High,88,2,792.5,820,772,1015.5,997,1120
High,91,2,765,834,858,1178,1233.5,1604
High,94,2,592.5,783,933.5,807,1242.5,1577
High,97,2,968,1237.5,1265,1484,1796,1600.5
High,103,2,1134.5,1297,1373.5,1407.5,1542,1394.5
High,106,2,748,817.5,812,924,1156,1059
High,109,2,1241,1121,718,1188,1268,830
High,112,2,1049,1007,970,1599,1302.5,1123.5
High,115,2,616,753,797,1302,1401,1362
High,118,2,719.5,722,770,1032.5,1278.5,1180
High,121,2,847,1182,1256,1222,1620.5,1742.5
High,124,2,736,823,933,1349,1226,1391
High,127,2,846.5,1153,1470,1919,2106,2154.5
High,130,2,897.5,1056,1322,1694,1528,1741
High,133,2,969,1205,1396.5,1736.5,1989,1976
High,136,2,856.5,845,871,1077,961,1201.5
High,139,2,967,1066.5,1044.5,1221,1205,1133
High,142,2,564,594,655,731,839,811.5
High,145,2,890,1017.5,945,1277,1148,1375.5
High,148,2,717,979.5,1058.5,1418.5,1629.5,1523
High,151,2,829.5,917,910,1169,1150,1243
High,154,2,953,1178,1303.5,1591.5,1750,1652
High,160,2,717,843,934.5,958,1261,1858
High,163,2,1532,1334.5,948,1264,1266.5,1141
High,166,2,863.5,1157,1445.5,1472.5,1805.5,2174
High,169,2,806,890,1009,1174,1223,1290
High,172,2,862,956.5,984.5,958,770.5,843.5
High,173,2,715.5,831,1053,1521.5,1515.5,1207
High,176,2,1108.5,1291,1224,1404,1758,1346
Low,3,3,1300,1287,1016,1056.5,1102.5,927.5
Low,6,3,883,1170,1068,1085,941,773.5
Low,9,3,1627.5,1766,1684,1405,1326,1019
Low,12,3,1773,1342.5,1342,1193,1345.5,1272
Low,15,3,703,760.5,742,659,683,689
Low,18,3,1232.5,1115,1172,955.5,896,786
Low,21,3,1169,1587.5,1222,964,1252.5,1005
Low,24,3,1236,1331.5,1268,1101.5,1269.5,1179
Low,27,3,1394,1422,1329.5,1241,1277,1180
Low,30,3,1456,1563,1589,1280,1091,926.5
Low,33,3,883,1014,1312,1057,997.5,779
Low,36,3,1009,1050.5,927,891,862,865
Low,39,3,1487.5,1697,1146,1053,1149,1148
Low,42,3,1498,1413,1095,962.5,903,639.5
Low,45,3,1461,1499,1555,1137,1051.5,1006
Low,48,3,950.5,1213,904,949,994,782
Low,51,3,1465,1770,1538,1264.5,1217,1068
Low,54,3,966.5,1240,1258.5,1017.5,1249,1166
Low,57,3,1143,1542,1309,1140.5,1179,911
Low,60,3,1737.5,1569,1445,1232.5,1135,1007
Low,63,3,1461.5,1236,1475,1251.5,1113,1032
Low,66,3,1707,1945.5,1276,1359.5,1309,1012
Low,69,3,1736,1612.5,1571,1357,1295,1293
Low,72,3,1255,1201.5,1182,1027,900.5,801
Low,75,3,2007,1867,2160,1616,1525.5,1194.5
Low,78,3,1188,1524,1209,1225.5,1306,1240
Low,81,3,1006,844,987,906.5,909,798
Low,84,3,951,1664,1787.5,918,1285,1222
Low,87,3,915,1083,1094,934,1051.5,1207
Low,90,3,1031,1184,1109,971,942,832
Low,93,3,945.5,1151.5,1005,797,959.5,1028.5
Low,96,3,933.5,1425,1105,1015.5,1148.5,872.5
Low,99,3,1157,1388,1379.5,1416.5,1407.5,1138.5
Low,102,3,843,1073.5,1172.5,1160.5,1059.5,922
Low,108,3,1156,1670.5,1997,1098,1621.5,1849
Low,111,3,1055,955.5,868,834,775.5,737
Low,114,3,1376.5,1063,1315,947.5,831.5,790
Low,117,3,1080,1014.5,1119,1140,1222,1338.5
Low,120,3,1882.5,1671.5,1501.5,955,848,697
Low,123,3,634.5,784,719,582.5,676,772
Low,126,3,1041,1350,1139,1010,1135,879
Low,129,3,672,741,797,557,700,850
Low,132,3,974.5,1082.5,857.5,826,871.5,692
Low,135,3,1352.5,1901,1301,1058.5,951,761
Low,138,3,1373,1263,820,1026.5,834,650
Low,141,3,1880,1976,1441.5,1310.5,1001,776.5
Low,144,3,1609,1436,1559.5,1566,1468,1400
Low,147,3,1692,1518,1642,1271,1252,1186
Low,150,3,1533,1567,1634,1410,1399.5,1076
Low,153,3,1380,1619.5,1394,1110,943,850
Low,156,3,1833.5,2274,2027,1307,1542,1246
Low,159,3,1477,1606,1890.5,1589.5,1582,1469
Low,165,3,1512,1321,1498,1155.5,1136,955
Low,168,3,2000,1747,1950.5,1318,1243,1053
Low,171,3,964.5,1276.5,914,1080,1155,791
Low,175,3,1373,1769,1450.5,1585,1577.5,1543.5
Low,178,3,1509,1780,1475.5,1313,1221,863.5