condition,inside_inf_control,inside_inf_dvn,inside_neu_control,inside_neu_dvn,outside_inf_control,outside_inf_dvn,outside_neu_control,outside_neu_dvn
Memory,2.544289,3.582785,1.783873,0.684746,2.544289,3.582785,2.615583,1.516456
Memory,2.155392,1.793448,1.783873,1.941988,2.763812,2.763812,2.615583,1.110278
Memory,2.155392,2.763812,-0.35871,1.146594,2.763812,2.155392,1.941988,2.615583
Memory,0.169602,0.773774,0.318639,0.684746,1.591356,1.025096,-1.15035,0.684746
Memory,2.544289,2.544289,2.615583,1.941988,2.544289,2.544289,1.783873,1.941988
Memory,1.101818,2.086677,1.110278,1.941988,2.361351,2.448621,1.941988,1.941988
Memory,1.793448,1.284755,1.146594,0.318639,2.763812,2.544289,1.783873,1.150349
Memory,1.101818,1.025096,0.472999,1.110278,1.752931,1.025096,1.941988,0.472999
Memory,1.752931,1.303428,1.516456,0.472999,1.390987,1.911848,1.516456,1.110278
Memory,1.390987,1.443158,0.472999,1.110278,2.361351,0.792045,1.110278,1.110278
Memory,2.448621,1.303428,1.146594,1.783873,1.537849,0.941484,2.615583,2.615583
Memory,3.057041,2.199777,2.615583,1.110278,3.057041,1.591356,2.615583,1.941988
Memory,1.081214,0.941484,0.472999,1.110278,1.443158,1.303428,1.110278,1.110278
Memory,1.229413,0.532386,1.941988,-0.04747,2.199777,1.443158,1.110278,-0.68475
Memory,1.025096,1.081214,0.684746,0.684746,1.935868,1.443158,1.516456,1.516456
Memory,0.842159,0.652315,-0.68475,0.684746,1.101818,0.392655,-1.51646,0.047467
Memory,1.573925,1.573925,-0.35871,-0.78424,2.544289,1.573925,1.941988,1.516456
Memory,0.941484,0.257974,1.150349,0.047467,1.911848,1.777166,1.150349,1.516456
Memory,0.773774,1.025096,1.783873,1.150349,1.935868,1.284755,1.783873,0.318639
Memory,2.974365,0.941484,2.615583,1.110278,3.582785,1.911848,2.615583,1.941988
Memory,0.253008,0.792045,1.941988,0.318639,-0.25797,1.443158,1.941988,0.318639
Memory,2.361351,1.591356,0.472999,1.146594,2.361351,1.229413,1.941988,1.783873
Memory,1.752931,1.284755,2.615583,1.150349,2.361351,1.935868,2.615583,0.318639
Memory,1.793448,1.797508,0.314884,1.110278,2.763812,2.448621,2.615583,1.110278
Imagery,1.101818,1.229413,-0.78424,1.110278,0.042008,0.429262,1.516456,-0.35871
Imagery,1.101818,0.652315,0.314884,0.472999,2.361351,0.941484,1.783873,0.472999
Imagery,2.361351,1.752931,1.150349,0.684746,1.752931,1.752931,1.150349,0.684746
Imagery,0.940243,1.777166,-0.31864,0.318639,1.229413,1.168746,0.318639,0.318639
Imagery,1.591356,1.303428,1.146594,-473,2.199777,0.652315,2.615583,-473
Imagery,1.752931,2.199777,-473,0.314884,2.361351,0.940243,0.358711,2.615583
Imagery,2.448621,1.573925,0.684746,2.615583,1.797508,0.773774,0.684746,1.783873
Imagery,1.752931,1.797508,2.615583,0.784243,1.390987,3.057041,1.783873,-0.04747
Imagery,1.537849,1.284755,-0.31864,0.472999,2.448621,1.573925,0.318639,1.110278
Imagery,1.390987,0.517633,0.047467,1.516456,1.390987,1.777166,1.516456,0.684746
Imagery,1.229413,2.155392,1.783873,1.110278,2.199777,2.763812,2.615583,1.941988
Imagery,1.284755,0.842159,0.047467,1.516456,2.544289,1.390987,1.516456,1.516456
Imagery,1.793448,2.448621,0.684746,1.516456,2.763812,2.448621,1.516456,0.684746
Imagery,-0.25301,-0.28106,-0.04747,0.047467,1.168746,1.238129,-0.04747,0.684746
Imagery,0.082525,1.797508,-0.78424,0.472999,1.793448,1.537849,0.684746,-0.35871
Imagery,0.792045,1.793448,1.110278,0.684746,1.443158,1.793448,1.110278,0.684746
Imagery,1.573925,1.390987,2.615583,1.150349,2.544289,1.390987,1.783873,0.318639
Imagery,-0.11833,1.504279,0.047467,0.472999,0.392655,1.793448,0.684746,0.472999
Imagery,1.303428,1.752931,-0.78424,2.615583,1.911848,2.361351,1.516456,2.615583
Imagery,1.537849,1.286526,-0.68475,0.318639,3.057041,2.448621,0.784243,-0.31864
Imagery,1.025096,0.773774,1.783873,1.146594,2.544289,1.573925,1.146594,0.314884
Imagery,0.769439,0.118326,1.516456,-0.04747,0.407496,0.118326,1.516456,0.784243
Imagery,1.229413,2.361351,1.941988,0.684746,2.199777,2.361351,1.941988,1.516456
Imagery,2.155392,1.591356,1.110278,1.941988,2.763812,1.591356,1.941988,1.941988