"Position","S_StillLose","S_Impact","B_StillLose","B_impact","sex","country","job","educat","eduyrs_1","age_1","SComp","BComp","B_C1","B_C2","B_C3","B_C4","B_C5","B_C6","S_C1","S_C2","S_C3","S_C4","S_C5","S_C6","S_good","B_good"
"late",6,6,5,5,1,1,1,1,18.0,84.0,3.5,3.5,2,4,4,5,3,3,4,3,3,5,2,4,4,4
"early",6,6,5,5,1,1,2,1,20.0,29.0,3.8333333333333335,4.166666666666667,3,5,4,4,5,4,4,4,4,4,4,3,5,6
"early",7,3,7,2,1,1,4,3,15.0,21.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,4,5
"early",6,5,7,4,1,1,2,3,14.0,23.0,4.0,5.0,5,5,5,5,5,5,4,4,4,4,4,4,5,5
"early",7,4,7,3,2,1,2,3,17.0,31.0,4.5,4.0,4,4,5,3,4,4,5,4,5,4,5,4,5,4
"early",4,5,5,4,1,1,1,2,12.0,27.0,4.166666666666667,3.8333333333333335,4,4,4,3,5,3,4,3,4,5,4,5,4,5
"late",6,4,3,5,1,1,1,5,11.0,37.0,2.1666666666666665,2.1666666666666665,3,3,2,2,2,1,2,3,2,2,2,2,3,4
"late",6,6,6,5,1,1,1,1,18.0,37.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,4,3
"early",7,7,7,4,2,1,1,4,13.0,33.0,5.0,4.0,4,4,4,4,4,4,5,5,5,5,5,5,7,4
"early",7,7,7,1,2,1,2,2,12.0,35.0,5.0,1.0,1,1,1,1,1,1,5,5,5,5,5,5,7,1
"late",6,6,5,6,2,1,1,1,13.0,73.0,3.6666666666666665,3.5,3,2,3,5,4,4,3,4,4,4,3,4,6,6
"late",7,5,4,5,2,1,1,1,18.0,34.0,2.0,2.0,2,2,3,2,1,2,2,2,3,1,2,2,2,2
"early",7,5,7,4,2,1,1,2,16.0,27.0,4.166666666666667,2.3333333333333335,3,3,1,2,2,3,4,4,4,5,4,4,6,2
"late",3,6,5,4,2,1,6,3,17.0,36.0,4.0,3.1666666666666665,3,3,3,3,3,4,4,4,4,4,4,4,6,4
"late",5,5,3,6,2,1,2,2,16.0,63.0,3.3333333333333335,3.3333333333333335,4,3,4,3,3,3,3,3,4,3,3,4,4,4
"early",6,3,6,2,1,1,2,2,16.0,44.0,2.3333333333333335,2.1666666666666665,2,2,3,2,2,2,2,2,3,2,2,3,2,3
"early",6,5,7,4,2,1,1,4,14.0,35.0,3.6666666666666665,3.5,3,4,3,3,4,4,4,3,4,4,3,4,4,4
"late",5,6,5,6,1,1,1,2,12.0,71.0,4.166666666666667,4.5,4,5,5,4,4,5,5,4,5,4,3,4,6,6
"late",7,4,1,6,2,1,6,2,16.0,28.0,2.5,2.5,2,3,3,2,2,3,2,3,3,2,2,3,2,3
"early",6,3,7,4,2,1,6,1,19.0,38.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,4,4
"late",7,7,7,7,2,1,1,4,12.0,49.0,3.6666666666666665,3.3333333333333335,3,4,4,3,3,3,4,4,4,3,4,3,4,4
"late",5,2,7,3,2,1,6,2,16.0,55.0,2.3333333333333335,3.0,3,3,3,3,3,3,3,2,3,2,2,2,3,4
"early",7,4,7,1,2,1,2,2,16.0,27.0,1.0,1.5,1,1,3,1,1,2,1,1,1,1,1,1,1,2
"late",5,6,6,6,1,1,1,2,13.0,73.0,4.0,4.0,5,4,4,4,3,4,4,4,4,3,4,5,6,5
"late",5,3,4,5,1,1,1,2,16.0,37.0,2.0,3.0,3,3,3,3,3,3,2,2,2,2,2,2,3,4
"early",7,2,7,1,1,1,1,1,18.0,44.0,2.6666666666666665,3.0,3,3,3,3,3,3,3,2,3,3,2,3,4,2
"late",4,5,4,5,1,1,1,2,17.0,78.0,3.1666666666666665,3.1666666666666665,3,3,2,3,4,4,2,3,3,4,4,3,4,5
"late",7,6,1,7,1,1,2,4,12.0,35.0,3.5,5.0,5,5,5,5,5,5,4,3,3,3,4,4,6,7
"late",5,5,4,5,2,1,1,3,16.0,67.0,4.0,3.3333333333333335,3,4,3,3,4,3,4,4,4,4,3,5,5,5
"early",7,1,7,1,1,1,1,2,16.0,24.0,1.0,3.0,3,3,3,3,3,3,1,1,1,1,1,1,1,1
"early",7,4,7,4,2,1,2,1,18.0,32.0,4.166666666666667,4.333333333333333,5,4,4,4,5,4,4,4,5,4,4,4,4,5
"late",7,6,7,5,2,1,1,1,18.0,35.0,2.8333333333333335,2.8333333333333335,3,3,3,3,2,3,3,3,3,2,3,3,1,2
"late",5,7,6,6,1,1,1,2,17.0,69.0,4.166666666666667,4.0,4,5,3,4,5,3,4,3,4,5,4,5,6,6
"early",5,6,5,5,1,1,1,2,14.0,35.0,3.6666666666666665,3.5,3,4,4,3,3,4,3,4,4,4,3,4,6,5
"early",1,7,7,2,2,1,1,2,17.0,56.0,3.0,2.5,2,2,3,3,2,3,3,3,3,3,3,3,4,2
"late",7,1,7,2,1,1,1,4,12.0,55.0,2.3333333333333335,2.6666666666666665,3,2,3,3,2,3,2,2,3,2,2,3,1,4
"early",6,7,6,6,1,1,4,2,12.0,21.0,4.5,4.5,4,5,4,5,5,4,4,4,5,5,4,5,6,6
"late",6,6,7,6,1,1,4,2,12.0,21.0,4.5,4.5,4,5,4,5,4,5,5,5,5,4,4,4,7,7
"early",7,3,7,2,2,1,5,4,12.0,61.0,3.1666666666666665,2.8333333333333335,3,2,4,2,3,3,3,3,4,3,3,3,4,3
"early",7,4,7,2,2,1,1,2,17.0,45.0,2.6666666666666665,3.1666666666666665,3,4,3,3,3,3,3,3,3,2,3,2,2,3
"late",6,4,7,4,1,1,1,3,15.0,58.0,3.0,2.6666666666666665,4,2,4,2,2,2,3,3,3,3,3,3,4,3
"late",6,2,7,5,2,1,2,1,18.0,33.0,2.1666666666666665,3.3333333333333335,3,4,3,3,4,3,2,2,3,2,2,2,3,5
"early",7,5,7,3,1,1,1,3,16.0,30.0,3.6666666666666665,2.0,2,2,2,2,2,2,4,4,3,4,3,4,6,2
"early",5,4,4,4,1,1,1,2,12.0,68.0,3.3333333333333335,3.5,3,4,4,4,3,3,4,4,3,2,4,3,5,5
"late",3,6,6,5,1,1,1,2,16.0,25.0,3.3333333333333335,2.6666666666666665,2,2,3,2,3,4,3,3,4,3,3,4,4,3
"late",7,6,7,2,1,1,2,2,16.0,58.0,4.333333333333333,1.6666666666666667,1,2,2,2,2,1,5,5,4,4,4,4,7,1
"late",4,4,4,4,1,1,1,2,16.0,40.0,3.3333333333333335,3.0,3,3,3,3,3,3,3,3,3,3,4,4,5,4
"early",7,2,7,1,1,1,1,4,12.0,50.0,2.6666666666666665,2.1666666666666665,2,2,3,2,2,2,3,3,3,2,3,2,2,2
"late",6,6,3,6,1,1,1,3,15.0,50.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,4,4
"early",5,4,5,4,2,1,7,3,14.0,30.0,3.3333333333333335,3.0,3,3,3,3,3,3,3,4,3,4,3,3,4,4
"early",7,3,7,3,2,1,2,4,13.0,44.0,2.6666666666666665,3.0,3,3,3,3,3,3,3,3,3,2,2,3,4,5
"early",7,2,7,2,1,1,1,4,12.0,33.0,3.0,2.1666666666666665,2,2,3,2,2,2,3,3,3,3,3,3,3,1
"early",6,7,7,2,1,1,1,2,16.0,29.0,3.1666666666666665,2.3333333333333335,2,3,3,2,2,2,3,3,3,4,3,3,4,2
"late",7,2,7,2,2,1,1,3,14.0,35.0,2.0,2.0,1,2,3,1,1,4,1,3,3,1,2,2,2,1
"early",7,3,7,2,1,1,1,2,17.0,25.0,3.0,2.3333333333333335,3,2,3,2,2,2,3,3,3,3,3,3,4,2
"late",5,7,1,7,2,1,1,2,15.0,33.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,7,7
"late",6,2,3,4,2,1,1,1,18.0,36.0,2.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,3,2
"early",6,1,7,1,1,1,1,2,16.0,25.0,2.5,2.5,2,2,3,3,2,3,2,3,3,3,2,2,4,2
"early",5,5,5,5,1,1,1,1,11.0,26.0,4.166666666666667,4.166666666666667,5,4,4,5,3,4,4,4,5,5,4,3,6,6
"late",5,2,6,3,1,1,1,2,16.0,32.0,2.0,2.0,2,2,3,2,1,2,2,1,3,2,2,2,3,4
"late",5,5,2,7,2,1,2,2,16.0,37.0,4.166666666666667,3.5,4,3,3,3,4,4,4,5,4,4,3,5,4,5
"early",7,5,7,1,2,1,7,4,13.0,39.0,3.6666666666666665,2.0,2,2,3,2,1,2,4,4,3,3,3,5,4,3
"early",7,1,7,1,1,1,1,4,14.0,36.0,1.5,1.8333333333333333,2,2,3,2,1,1,2,2,2,1,1,1,1,3
"early",4,5,5,5,2,1,2,3,12.0,30.0,4.0,4.166666666666667,3,4,5,4,5,4,3,4,4,5,4,4,5,7
"early",7,5,7,3,2,1,1,4,13.0,43.0,3.0,2.0,2,2,2,2,2,2,3,3,3,3,3,3,4,3
"early",4,4,4,4,1,1,1,2,20.0,25.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,4,4
"early",4,3,4,3,2,1,1,1,17.0,34.0,2.8333333333333335,2.6666666666666665,3,2,3,3,2,3,3,3,3,2,3,3,4,3
"late",6,1,1,7,2,1,2,4,12.0,26.0,2.8333333333333335,3.6666666666666665,5,4,4,3,3,3,5,3,3,2,2,2,2,4
"late",7,2,7,6,2,1,5,1,18.0,67.0,1.6666666666666667,1.5,1,1,3,1,1,2,2,1,3,1,2,1,2,1
"late",5,4,5,5,1,1,1,1,20.0,35.0,2.5,3.1666666666666665,3,3,3,3,4,3,3,3,3,2,2,2,4,4
"late",6,4,5,5,2,1,2,2,17.0,25.0,2.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,3,2
"late",7,7,7,1,1,1,1,3,14.0,39.0,2.5,2.1666666666666665,3,1,4,2,1,2,2,1,3,3,3,3,2,2
"early",7,1,7,4,2,1,1,3,14.0,33.0,2.8333333333333335,3.0,3,3,3,3,3,3,3,3,3,2,3,3,4,4
"late",5,7,5,7,1,1,1,2,16.0,30.0,1.8333333333333333,2.0,2,2,2,2,2,2,2,2,2,1,2,2,2,2
"early",7,5,7,1,1,1,1,4,16.0,40.0,4.0,3.0,3,3,3,3,3,3,4,4,4,4,4,4,6,2
"early",6,6,5,4,1,1,1,1,18.0,46.0,3.0,2.3333333333333335,3,2,3,2,2,2,3,3,3,3,3,3,4,3
"early",7,1,7,1,2,1,2,1,19.0,58.0,2.5,1.8333333333333333,2,1,3,1,2,2,2,3,3,3,2,2,3,2
"late",6,2,4,4,2,1,2,3,15.0,42.0,2.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,1,2
"late",5,5,5,5,2,1,1,2,14.0,61.0,3.5,3.8333333333333335,4,3,4,3,5,4,3,3,4,4,3,4,4,5
"early",7,1,7,1,1,1,1,2,17.0,35.0,1.5,2.3333333333333335,2,3,3,1,2,3,1,1,2,2,1,2,3,3
"late",5,6,3,3,2,1,6,2,16.0,49.0,4.0,2.6666666666666665,3,2,3,3,3,2,4,4,4,4,4,4,6,4
"late",5,4,7,7,1,1,1,4,11.0,53.0,3.6666666666666665,3.3333333333333335,4,3,4,3,3,3,3,4,4,3,4,4,4,5
"early",7,5,7,1,2,1,5,4,12.0,46.0,2.5,2.0,2,2,3,2,1,2,2,3,4,2,2,2,4,2
"late",5,4,3,5,2,1,2,3,20.0,43.0,2.6666666666666665,2.6666666666666665,2,3,3,2,2,4,2,3,3,2,3,3,3,2
"early",5,5,6,4,1,1,3,4,13.0,39.0,4.333333333333333,4.0,5,5,3,4,4,3,5,5,4,5,4,3,7,4
"early",6,3,6,3,2,1,6,2,16.0,43.0,2.0,2.8333333333333335,3,3,3,2,3,3,2,2,2,2,2,2,3,4
"early",6,4,7,4,2,1,2,2,20.0,29.0,3.1666666666666665,3.5,4,4,3,3,4,3,4,3,3,3,3,3,4,4
"late",7,6,6,7,1,1,1,1,17.0,31.0,3.0,3.3333333333333335,4,3,3,4,3,3,3,3,3,3,4,2,4,4
"late",7,6,4,4,2,1,1,3,14.0,47.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,4,4
"late",6,5,7,6,2,1,1,2,16.0,42.0,2.1666666666666665,2.6666666666666665,3,3,3,2,3,2,2,2,3,3,2,1,1,4
"early",7,2,7,3,1,1,1,4,12.0,28.0,3.0,3.3333333333333335,3,4,4,3,3,3,4,3,3,2,3,3,2,4
"early",7,1,7,1,2,1,1,1,18.0,35.0,2.1666666666666665,2.1666666666666665,2,2,3,2,2,2,2,2,3,2,2,2,1,1
"late",4,4,3,6,2,1,1,4,11.0,31.0,2.8333333333333335,3.1666666666666665,4,4,2,2,3,4,3,2,4,3,3,2,3,4
"late",7,7,4,4,2,1,1,4,12.0,66.0,3.8333333333333335,3.8333333333333335,3,4,4,4,4,4,4,4,4,3,4,4,5,7
"early",6,6,6,2,1,1,1,1,18.0,39.0,4.0,2.5,3,3,3,2,2,2,4,4,4,3,4,5,5,3
"late",6,7,1,7,2,1,2,4,13.0,58.0,4.0,3.1666666666666665,4,4,2,2,4,3,4,4,4,4,4,4,6,2
"early",7,4,7,1,2,1,1,2,16.0,26.0,3.5,1.8333333333333333,2,2,3,1,1,2,3,4,4,3,4,3,4,3
"late",6,7,6,5,1,1,2,3,10.0,22.0,4.5,4.0,4,4,3,4,5,4,5,5,4,4,5,4,6,6
"early",5,6,7,1,1,1,1,2,12.0,32.0,5.0,3.3333333333333335,2,4,4,2,4,4,5,5,5,5,5,5,7,2
"early",7,5,7,2,2,1,6,1,18.0,56.0,2.0,3.0,3,3,3,3,3,3,2,2,2,2,2,2,3,3
"late",7,7,7,7,2,1,1,3,12.0,28.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,7,7
"early",5,4,5,5,2,1,1,4,14.0,26.0,3.3333333333333335,3.0,2,3,3,4,3,3,3,3,4,3,3,4,5,4
"late",7,5,7,6,2,1,1,2,17.0,41.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,2,4
"late",7,5,7,5,2,1,1,2,18.0,32.0,2.5,2.5,3,2,3,2,2,3,3,2,3,2,2,3,3,4
"late",7,2,5,3,2,1,1,2,16.0,22.0,2.1666666666666665,2.0,2,2,2,2,2,2,2,2,2,2,2,3,2,2
"late",5,4,3,5,2,1,2,2,16.0,50.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,4,5
"early",5,6,4,5,2,1,2,3,13.0,34.0,4.166666666666667,3.6666666666666665,3,3,3,5,4,4,5,4,3,4,5,4,5,6
"early",6,3,6,2,2,1,6,2,17.0,34.0,2.6666666666666665,2.1666666666666665,2,2,3,2,2,2,3,3,3,2,2,3,3,3
"late",5,5,5,5,2,1,1,2,16.0,29.0,3.6666666666666665,3.8333333333333335,3,4,4,3,5,4,4,3,3,4,4,4,6,6
"late",5,5,3,7,1,1,1,2,16.0,47.0,3.1666666666666665,2.8333333333333335,4,2,3,3,2,3,4,3,4,2,3,3,3,3
"late",7,5,7,7,2,1,1,1,7.0,26.0,2.6666666666666665,4.166666666666667,3,5,4,4,5,4,3,3,3,3,2,2,1,5
"late",2,5,1,7,2,1,1,1,18.0,25.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,4,4
"early",7,6,7,3,2,1,1,2,16.0,32.0,4.0,2.3333333333333335,3,2,3,2,2,2,4,4,4,4,4,4,6,3
"early",7,2,7,1,1,1,1,2,16.0,48.0,1.5,2.0,2,2,2,1,2,3,1,1,2,1,1,3,1,2
"early",7,5,7,2,2,1,6,4,12.0,51.0,2.6666666666666665,2.0,2,2,2,2,2,2,3,3,2,3,2,3,4,3
"late",7,7,5,7,1,1,1,2,16.0,76.0,2.0,1.0,1,1,1,1,1,1,3,3,2,1,1,2,2,2
"late",1,7,1,7,2,1,1,4,14.0,67.0,2.8333333333333335,3.0,3,3,3,3,3,3,3,3,3,3,3,2,4,5
"early",4,4,4,4,2,1,1,2,16.0,40.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,4,4
"early",7,6,7,2,1,1,1,2,16.0,42.0,4.0,2.3333333333333335,3,2,3,2,2,2,4,4,4,4,4,4,6,4
"early",5,3,5,3,2,1,2,4,15.0,21.0,3.0,3.1666666666666665,4,3,3,3,3,3,3,3,3,3,3,3,4,5
"late",5,4,1,7,2,1,6,2,16.0,44.0,2.8333333333333335,3.1666666666666665,3,3,3,3,4,3,3,3,3,2,3,3,2,3
"late",4,6,2,5,2,1,1,4,14.0,40.0,4.0,3.0,3,3,3,3,3,3,4,4,4,4,4,4,6,5
"early",7,1,7,1,2,1,2,4,12.0,31.0,2.0,2.5,2,3,3,2,2,3,2,2,3,2,2,1,1,2
"early",6,3,6,3,1,1,1,1,20.0,35.0,2.6666666666666665,2.6666666666666665,3,3,3,2,3,2,3,3,3,2,3,2,4,4
"early",7,4,7,2,1,1,1,2,18.0,37.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,2
"early",7,5,7,1,1,1,2,4,12.0,21.0,3.5,2.3333333333333335,2,2,3,2,2,3,4,4,3,3,3,4,4,3
"late",5,5,2,5,2,1,1,2,19.0,36.0,3.8333333333333335,4.166666666666667,4,4,4,4,5,4,4,4,4,3,4,4,4,5
"late",6,4,7,3,1,1,1,2,16.0,24.0,4.333333333333333,4.5,5,4,4,5,5,4,3,5,5,4,5,4,5,7
"early",7,3,7,3,1,1,3,6,9.0,37.0,2.5,2.8333333333333335,3,3,3,2,3,3,2,3,3,2,2,3,3,3
"early",7,4,7,4,2,1,1,2,17.0,49.0,3.1666666666666665,3.1666666666666665,4,3,3,3,3,3,4,3,4,2,3,3,4,3
"late",6,5,6,2,1,1,1,3,14.0,61.0,4.0,3.0,3,3,3,3,3,3,4,4,4,4,4,4,6,3
"late",6,7,6,6,2,1,2,2,15.0,24.0,4.0,3.3333333333333335,3,4,3,4,3,3,4,4,4,4,4,4,4,4
"late",7,7,7,7,2,1,1,2,16.0,28.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,1,4
"late",7,7,7,7,1,1,1,1,18.0,50.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,4,4
"late",7,7,7,7,2,1,1,2,20.0,29.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,7,7
"early",7,4,7,2,1,1,1,1,20.0,39.0,2.8333333333333335,3.0,3,3,3,3,3,3,3,3,3,2,3,3,4,4
"early",2,4,2,3,2,1,1,2,16.0,46.0,2.3333333333333335,2.6666666666666665,2,3,3,3,3,2,2,2,3,3,2,2,3,3
"early",7,2,7,1,2,1,1,2,16.0,24.0,3.5,3.1666666666666665,3,4,3,3,3,3,4,3,3,4,3,4,4,3
"early",7,4,7,2,2,1,5,3,14.0,68.0,2.6666666666666665,2.0,2,2,2,2,2,2,3,3,3,2,2,3,4,3
"late",7,7,7,4,2,1,1,2,16.0,67.0,4.5,4.0,4,4,4,4,4,4,5,5,4,5,4,4,4,4
"late",5,4,1,6,2,1,6,4,12.0,28.0,2.5,3.3333333333333335,4,4,3,3,3,3,3,2,3,2,2,3,3,4
"early",5,4,5,4,1,1,1,4,12.0,35.0,3.3333333333333335,2.6666666666666665,3,2,3,2,3,3,3,3,3,4,3,4,4,4
"early",4,4,7,2,2,1,1,1,18.0,32.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,4,4
"late",4,4,4,4,1,1,1,2,16.0,40.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,4,4
"late",6,5,6,3,2,1,1,2,17.0,29.0,2.3333333333333335,2.3333333333333335,3,2,3,2,2,2,2,2,2,2,2,4,3,2
"early",7,3,7,2,1,1,1,3,14.0,44.0,2.5,2.3333333333333335,3,3,3,1,2,2,3,3,3,2,2,2,3,3
"late",5,5,5,6,1,1,1,2,16.0,37.0,3.8333333333333335,3.6666666666666665,3,4,3,4,4,4,4,4,4,2,4,5,5,6
"early",5,5,5,3,2,1,1,1,18.0,56.0,4.0,2.0,2,2,2,2,2,2,4,4,4,4,4,4,6,3
"early",7,1,7,1,2,1,6,4,12.0,31.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"late",7,2,6,6,2,1,1,2,16.0,31.0,2.5,3.0,3,3,3,3,3,3,2,3,3,2,2,3,3,4
"early",7,3,7,3,2,1,1,2,16.0,25.0,2.6666666666666665,2.5,2,2,3,2,3,3,3,3,3,2,2,3,3,4
"late",4,7,1,7,1,1,1,2,17.0,28.0,5.0,3.3333333333333335,4,3,4,1,4,4,5,5,5,5,5,5,7,7
"late",7,4,5,4,2,1,1,2,16.0,54.0,3.0,2.3333333333333335,2,2,3,2,2,3,3,3,3,3,3,3,4,4
"early",7,7,7,5,2,1,1,4,14.0,44.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,7,7
"late",4,7,7,1,2,1,1,3,14.0,32.0,5.0,2.0,3,1,2,2,1,3,5,5,5,5,5,5,7,2
"early",7,4,7,2,2,1,2,2,16.0,49.0,3.0,2.3333333333333335,2,2,3,2,2,3,3,3,3,3,3,3,5,2
"early",7,5,7,3,2,1,1,2,16.0,25.0,3.6666666666666665,3.5,4,4,3,3,4,3,4,4,3,4,4,3,5,4
"early",4,6,6,7,1,1,1,3,16.0,37.0,4.333333333333333,4.5,5,5,4,4,5,4,4,5,4,4,5,4,5,5
"late",5,4,5,6,1,1,1,2,16.0,41.0,2.1666666666666665,2.8333333333333335,3,3,2,2,3,4,2,2,2,2,2,3,3,3
"early",7,4,7,2,1,1,6,4,12.0,44.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,4,4
"early",7,7,7,7,2,1,4,1,7.0,33.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,7,7
"late",5,3,4,5,2,1,2,2,16.0,66.0,2.1666666666666665,2.5,2,2,3,2,3,3,2,2,3,2,2,2,3,5
"late",5,6,3,5,2,1,1,1,18.0,39.0,1.3333333333333333,2.0,2,2,2,2,2,2,2,2,1,1,1,1,2,2
"late",4,5,4,6,2,1,2,2,16.0,29.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,5
"early",6,4,6,4,1,1,1,1,20.0,39.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,4,4
"late",6,3,1,6,1,1,1,1,17.0,33.0,3.0,3.1666666666666665,3,3,3,3,3,4,3,3,3,3,3,3,2,2
"early",5,5,6,2,2,1,6,2,16.0,33.0,3.3333333333333335,1.5,1,2,2,1,2,1,3,3,4,3,4,3,5,2
"early",7,7,6,7,2,1,1,1,12.0,56.0,4.5,3.5,3,3,4,4,3,4,4,4,5,5,4,5,7,5
"early",7,1,7,1,2,1,1,3,14.0,29.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"late",5,6,1,7,1,1,1,2,18.0,28.0,3.0,3.5,3,4,3,3,3,5,3,3,3,3,2,4,3,4
"early",7,5,7,4,2,1,1,6,14.0,47.0,3.6666666666666665,2.8333333333333335,4,3,3,2,2,3,4,4,4,3,3,4,4,3
"late",7,6,7,7,2,1,1,1,16.0,27.0,4.333333333333333,4.0,4,3,4,3,5,5,3,5,5,4,5,4,5,7
"early",4,4,3,2,1,1,1,1,6.0,24.0,3.0,3.0,4,4,2,4,2,2,2,4,2,4,2,4,2,4
"early",7,3,6,4,2,1,2,2,16.0,24.0,3.1666666666666665,2.5,3,2,2,3,3,2,3,3,3,3,3,4,5,4
"late",2,4,2,4,1,1,1,4,12.0,36.0,3.1666666666666665,3.1666666666666665,3,4,3,3,3,3,4,3,4,2,3,3,4,4
"early",2,7,2,7,2,1,1,2,10.0,26.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,7,7
"late",6,4,6,3,2,1,4,2,16.0,25.0,2.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,3,3
"early",6,7,7,3,1,1,2,4,12.0,31.0,3.0,2.0,2,2,2,2,2,2,3,3,3,3,3,3,4,2
"late",6,2,2,2,2,1,1,2,17.0,33.0,2.6666666666666665,2.6666666666666665,3,2,3,2,2,4,3,2,3,3,2,3,2,4
"late",5,5,2,5,2,1,6,4,12.0,34.0,3.1666666666666665,3.1666666666666665,3,3,3,3,4,3,3,3,3,4,3,3,4,6
"late",6,7,7,7,1,1,2,4,14.0,30.0,4.666666666666667,4.5,4,4,5,5,5,4,5,4,5,5,5,4,7,7
"early",5,6,5,5,1,1,1,2,19.0,27.0,4.0,3.6666666666666665,4,3,4,4,3,4,4,5,4,4,3,4,5,5
"early",7,4,7,2,1,1,1,2,16.0,49.0,2.5,2.1666666666666665,2,2,3,2,2,2,2,3,3,2,2,3,3,3
"late",1,7,1,7,2,1,1,4,13.0,29.0,1.0,2.0,2,2,2,2,2,2,1,1,1,1,1,1,1,2
"early",6,1,7,1,2,1,1,1,17.0,26.0,2.5,2.6666666666666665,3,2,3,2,3,3,4,3,3,1,2,2,1,2
"early",6,7,7,3,2,1,5,3,12.0,63.0,3.6666666666666665,2.8333333333333335,3,3,3,3,3,2,4,4,3,3,4,4,6,3
"early",6,3,7,2,1,1,1,2,16.0,40.0,2.5,2.5,3,2,3,2,2,3,2,3,2,3,2,3,3,2
"late",2,6,7,7,2,1,2,2,5.0,34.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,7,7
"late",5,6,1,5,1,1,1,4,12.0,26.0,3.5,3.5,3,4,3,4,4,3,4,3,4,3,4,3,2,3
"late",7,7,1,7,2,1,1,1,5.0,30.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,7,7
"early",7,5,7,1,1,1,1,3,16.0,27.0,3.8333333333333335,1.8333333333333333,2,2,2,1,2,2,4,4,4,3,4,4,4,1
"late",7,7,7,5,1,1,1,4,13.0,56.0,1.6666666666666667,1.6666666666666667,3,1,3,1,1,1,2,2,3,1,1,1,3,1
"late",7,7,5,7,2,1,1,2,16.0,57.0,3.0,2.5,3,3,3,2,2,2,2,4,5,2,3,2,2,3
"early",6,5,6,6,2,1,6,6,13.0,39.0,2.6666666666666665,3.1666666666666665,3,3,3,3,4,3,2,3,3,3,3,2,3,4
"early",7,5,7,4,2,1,1,1,20.0,29.0,1.8333333333333333,3.0,3,3,3,3,3,3,2,2,2,1,2,2,2,4
"late",4,5,5,5,2,1,2,2,10.0,38.0,3.3333333333333335,4.0,4,5,3,3,4,5,3,4,4,3,2,4,5,4
