sid,group,nam,mp1,mp2,mp3
0,0,3,0,114,79
1,0,3,6,32,179
2,0,1,36,250,250
3,0,3,0,0,1
4,0,2,6,250,85
5,0,2,5,250,244
6,0,3,40,0,116
7,0,1,0,250,250
8,0,2,250,4,28
9,0,2,129,88,250
10,0,1,0,250,250
11,0,1,77,250,250
12,0,3,60,0,51
13,0,2,61,250,83
14,0,1,48,250,250
15,0,1,250,35,250
16,0,1,41,250,250
17,0,3,36,68,167
18,0,2,44,0,250
19,0,1,250,250,88
20,0,2,89,0,250
21,0,2,89,4,250
22,0,3,0,135,20
23,0,1,0,250,250
24,0,2,0,250,28
25,0,3,70,2,99
26,0,0,250,250,250
27,0,1,0,250,250
28,0,1,0,250,250
29,0,1,250,250,22
30,0,1,250,63,250
31,0,1,0,250,250
32,0,2,30,0,250
33,0,2,159,0,250
34,0,1,0,250,250
35,0,1,11,250,250
36,0,1,250,0,250
37,0,2,19,8,250
39,0,2,250,0,233
41,0,2,74,1,250
42,0,2,0,250,31
43,0,3,37,60,115
45,0,3,118,143,19
46,0,2,3,0,250
47,0,3,14,0,68
48,0,1,0,250,250
49,0,2,4,120,250
50,0,2,0,105,250
51,0,1,250,3,250
52,0,1,59,250,250
53,0,1,250,250,118
54,0,1,51,250,250
55,0,2,0,78,250
56,0,2,250,0,156
57,0,3,33,0,138
58,0,2,142,175,250
59,0,2,1,250,99
60,0,3,0,0,4
61,0,2,19,85,250
62,0,3,0,117,184
63,0,1,17,250,250
64,0,2,0,163,250
65,0,3,9,53,113
66,0,2,250,111,178
67,0,3,0,17,148
68,0,3,1,129,139
69,0,2,0,250,138
70,0,2,6,0,250
71,0,0,250,250,250
72,0,2,19,81,250
73,0,2,0,68,250
74,0,3,0,49,158
75,0,3,103,26,0
77,0,2,201,45,250
78,0,3,215,84,0
79,0,3,6,69,28
80,0,3,62,11,181
81,0,3,0,128,142
82,0,1,0,250,250
83,0,2,140,51,250
84,0,1,250,0,250
85,0,3,0,12,36
86,0,1,3,250,250
87,0,1,250,250,6
88,0,1,187,250,250
89,0,2,85,60,250
90,0,2,83,4,250
91,0,1,250,228,250
92,0,2,89,250,19
93,0,1,115,250,250
94,0,2,84,120,250
95,0,1,250,93,250
96,0,1,5,250,250
97,0,1,250,50,250
98,0,0,250,250,250
99,0,2,2,118,250
100,0,3,18,3,190
101,0,2,250,0,52
102,0,2,232,250,43
103,0,2,14,52,250
104,0,3,45,53,0
105,0,1,0,250,250
106,0,2,0,0,250
107,0,3,0,0,0
108,0,1,20,250,250
109,0,1,0,250,250
110,0,2,0,196,250
112,0,2,0,100,250
113,0,3,19,148,83
114,0,1,159,250,250
115,0,3,0,124,75
116,0,3,25,12,65
117,0,2,0,115,250
118,0,2,11,0,250
119,0,0,250,250,250
121,0,1,3,250,250
122,0,0,250,250,250
123,0,3,0,179,1
124,0,2,17,80,250
125,0,2,0,71,250
126,0,1,0,250,250
127,0,2,49,6,250
128,0,3,9,3,61
129,0,2,19,250,83
130,0,3,0,0,140
131,0,1,250,250,7
132,0,2,226,75,250
133,0,3,3,47,75
134,0,2,95,20,250
136,0,1,9,250,250
137,0,2,90,212,250
138,0,1,5,250,250
139,0,0,250,250,250
140,0,2,172,6,250
141,0,2,23,14,250
142,0,3,149,223,50
143,0,2,0,12,250
144,0,1,250,3,250
145,0,2,7,111,250
146,0,3,0,227,38
147,0,1,250,250,89
148,0,2,10,226,250
150,0,1,2,250,250
153,0,3,0,0,22
154,0,3,33,48,79
155,0,3,63,0,191
156,0,3,17,0,170
157,0,2,2,100,250
158,0,3,13,60,0
159,0,1,250,250,0
160,0,3,0,0,117
161,0,3,32,0,108
162,0,2,21,87,250
163,0,3,0,75,27
164,0,2,0,92,250
166,0,0,250,250,250
168,0,0,250,250,250
169,0,3,0,67,120
170,0,3,17,0,120
171,0,2,0,72,250
172,0,2,0,111,250
173,0,2,63,8,250
175,0,3,19,71,0
176,0,1,1,250,250
177,0,0,250,250,250
178,0,2,2,58,250
179,0,3,6,29,121
180,0,3,0,0,133
181,0,2,33,86,250
182,0,1,38,250,250
183,0,2,79,250,70
184,0,1,98,250,250
185,0,3,58,235,38
186,0,2,3,0,250
187,0,1,3,250,250
188,0,2,108,43,250
189,0,1,5,250,250
190,0,1,0,250,250
191,0,3,116,17,144
192,0,2,0,12,250
193,0,1,1,250,250
194,0,3,0,4,88
195,0,1,250,250,4
196,0,1,56,250,250
197,0,1,32,250,250
198,0,1,19,250,250
199,1,3,176,0,204
200,1,3,151,41,116
201,1,3,46,119,70
202,1,2,51,250,0
203,1,1,250,67,250
204,1,2,116,3,250
205,1,3,29,219,144
206,1,2,196,3,250
207,1,3,81,0,58
208,1,2,0,250,13
209,1,3,0,112,73
210,1,1,250,0,250
211,1,1,250,166,250
212,1,1,140,250,250
213,1,3,52,75,229
214,1,3,0,109,193
215,1,0,250,250,250
216,1,3,177,0,92
217,1,3,4,143,21
218,1,3,31,74,24
219,1,2,0,206,250
220,1,2,5,180,250
221,1,0,250,250,250
223,1,3,6,145,164
224,1,1,0,250,250
225,1,2,41,250,111
226,1,1,250,250,234
227,1,1,250,187,250
228,1,3,72,53,150
229,1,3,0,16,128
230,1,0,250,250,250
231,1,1,76,250,250
232,1,2,185,250,93
233,1,2,199,250,82
234,1,2,185,250,159
235,1,2,250,39,55
236,1,1,0,250,250
237,1,1,26,250,250
238,1,2,0,250,44
239,1,2,132,250,229
240,1,3,35,66,102
241,1,3,33,23,19
242,1,3,153,0,111
243,1,3,0,38,19
244,1,2,0,29,250
245,1,2,141,0,250
246,1,2,250,74,171
247,1,2,0,194,250
248,1,3,0,0,13
249,1,1,250,45,250
250,1,3,65,125,22
251,1,3,50,33,0
252,1,3,107,0,0
253,1,2,33,17,250
254,1,3,188,230,46
255,1,2,25,250,188
256,1,3,0,45,21
257,1,3,29,51,182
258,1,2,0,234,250
259,1,1,41,250,250
261,1,2,0,250,131
262,1,1,2,250,250
263,1,3,97,0,32
264,1,3,0,38,9
265,1,2,72,250,105
266,1,1,12,250,250
267,1,3,107,0,126
268,1,2,227,20,250
269,1,3,0,32,0
270,1,3,46,28,91
271,1,0,250,250,250
272,1,1,0,250,250
274,1,1,250,0,250
275,1,2,0,26,250
276,1,2,79,17,250
277,1,3,0,0,90
278,1,2,0,0,250
279,1,0,250,250,250
280,1,3,0,116,212
281,1,1,168,250,250
282,1,2,58,0,250
283,1,3,98,80,159
284,1,3,46,8,35
285,1,3,109,0,54
286,1,3,0,0,171
287,1,3,37,1,93
288,1,0,250,250,250
289,1,3,0,185,0
290,1,2,237,193,250
291,1,3,17,47,142
292,1,1,250,174,250
293,1,2,27,0,250
294,1,3,0,0,16
295,1,2,4,250,31
296,1,3,0,149,28
297,1,2,0,250,24
298,1,2,250,0,27
299,1,1,250,105,250
300,1,3,76,107,135
301,1,1,0,250,250
302,1,3,101,21,90
303,1,1,10,250,250
304,1,3,11,0,129
305,1,1,250,250,94
306,1,2,72,0,250
307,1,3,0,145,87
308,1,2,0,4,250
309,1,1,7,250,250
310,1,2,202,250,50
311,1,3,0,64,126
312,1,1,250,0,250
313,1,3,70,0,128
314,1,3,1,56,204
315,1,3,0,0,80
316,1,3,127,11,188
317,1,3,0,77,102
318,1,1,1,250,250
319,1,2,17,156,250
320,1,3,181,21,123
321,1,2,196,250,201
322,1,3,3,32,23
323,1,1,69,250,250
324,1,2,61,85,250
325,1,2,0,0,250
326,1,2,0,250,67
327,1,3,0,31,152
328,1,2,50,76,250
329,1,1,3,250,250
330,1,3,21,6,127
331,1,1,0,250,250
332,1,2,50,209,250
333,1,3,14,115,190
334,1,2,0,0,250
335,1,3,5,51,75
336,1,2,1,0,250
337,1,3,0,66,42
338,1,3,16,53,96
339,1,3,0,0,115
340,1,1,0,250,250
341,1,3,77,67,16
342,1,1,28,250,250
343,1,1,0,250,250
344,1,3,0,38,0
345,1,1,1,250,250
346,1,1,250,250,170
347,1,3,97,90,15
348,1,3,0,47,108
349,1,3,172,50,25
350,1,3,0,118,27
351,1,1,2,250,250
352,1,1,250,250,27
353,1,2,221,250,68
354,1,2,72,4,250
355,1,3,198,3,35
356,1,1,0,250,250
357,1,1,250,250,32
358,1,0,250,250,250
359,1,3,2,65,105
360,1,3,0,40,184
361,1,2,131,115,250
362,1,3,113,90,60
363,1,3,67,0,99
364,1,3,0,108,18
365,1,3,0,0,58
366,1,3,49,96,139
367,1,2,0,24,250
368,1,2,78,35,250
369,1,3,175,0,115
370,1,3,39,0,66
371,1,3,22,0,204
372,1,3,0,101,188
373,1,3,94,15,117
374,1,3,37,57,87
375,1,3,1,9,37
376,1,3,40,0,59
378,1,2,0,250,0
379,1,3,0,0,16
380,1,1,0,250,250
381,1,2,97,250,226
382,1,3,99,37,53
383,1,2,0,119,250
384,1,2,1,23,250
386,1,3,5,180,27
387,1,2,0,1,250
388,1,3,18,244,27
389,1,3,0,0,201
390,1,2,0,34,250
391,1,2,0,0,250
392,1,1,19,250,250
393,1,2,33,250,193
394,1,0,250,250,250
395,1,1,250,223,250
396,1,1,94,250,250
397,1,1,0,250,250
398,1,2,28,65,250
399,1,3,64,0,186
