"Participant_ID","Room","Enjoyment_Prediction_Q1","Enjoyment_Prediction_Q2","Enjoyment_Prediction_Q3","Engagement_Prediction_Q1","Engagement_Prediction_Q2","Engagement_Prediction_Q3","Interest_Prediction_Q1","Interest_Prediction_Q2","Interest_Prediction_Q3","Boredom_Prediction_Q1","Boredom_Prediction_Q2","Boredom_Prediction_Q3","Enjoyment_Experience_Q1","Enjoyment_Experience_Q2","Enjoyment_Experience_Q3","Engagement_Experience_Q1","Engagement_Experience_Q2","Engagement_Experience_Q3","Interest_Experience_Q1","Interest_Experience_Q2","Interest_Experience_Q3","Boredom_Experience_Q1","Boredom_Experience_Q2","Boredom_Experience_Q3","Participate_again","Age","Gender","Ethnicity","Time_Felt1","Time_Felt2","Enjoyment_Prediction_Q2_Reversed","Enjoyment_Experience_Q2_Reversed","Predicted_Enjoyment_Index","Experienced_Enjoyment_Index","Predicted_Engagement_Index","Experienced_Engagement_Index","Predicted_Interest_Index","Experienced_Interest_Index","Predicted_Boredom_Index","Experienced_Boredom_Index","Boredom_Prediction_Q1_Reversed","Boredom_Prediction_Q2_Reversed","Boredom_Prediction_Q3_Reversed","Boredom_Experience_Q1_Reversed","Boredom_Experience_Q2_Reversed","Boredom_Experience_Q3_Reversed","Predicted_Intrinsic_Motivation_Index","Experienced_Intrinsic_Motivation_Index"
"1","A507","2","6","3","2","2","4","2","2","2","6","5","6","3","4","3","5","5","5","3","3","3","4","3","4","4","21","1","1",NA,NA,"2","4","2.333333333","3.333333333","2.666666667","5","2","3","5.666666667","3.666666667","2","3","2","4","5","4","2.333333333","3.916666667"
"2","A507","4","6","4","1","6","2","3",NA,NA,NA,NA,NA,"2","5","3","5","5","3","1","2","1","3","6","1","5","20","1","1",NA,NA,"2","3","3.333333","2.666667","3","4.333333",NA,"1.333333",NA,"3.333333",NA,NA,NA,"5","2","7",NA,"3.25"
"3","A507","3","5","3","3","3","3","3","2","3","5","4","6","6","2","4","5","4","3","5","4","5","3","3","3","6","21","1","1",NA,NA,"3","6","3","5.333333333","3","4","2.666666667","4.666666667","5","3","3","4","2","5","5","5","2.916666667","4.75"
"4","A506","1","7","1","1","1","1","1","1","1","7","7","7","1","3","1","1","1","2","1","1","2","7","6","7","2","20","1","1",NA,NA,"1","5","1","2.333333333","1","1.333333333","1","1.333333333","7","6.666666667","1","1","1","1","2","1","1","1.583333333"
"5","A506","3","7","1","2","1","2","2","1","1","7","6","6","3","5","3","2","1","2","2","3","2","5","4","3","7","21","1","1",NA,NA,"1","3","1.666666667","3","1.666666667","1.666666667","1.333333333","2.333333333","6.333333333","4","1","2","2","3","4","5","1.583333333","2.75"
"6","A506","2","7","3","2","3","3","2","2","2","5","6","6","2","7","2","2","3","4","2","2","2","6","6","6","3","20","1","1",NA,NA,"1","1","2","1.666666667","2.666666667","3","2","2","5.666666667","6","3","2","2","2","2","2","2.25","2.166666667"
"7","A506","4","6","4","3","3","6","4","3","4","6","4","5","3","6","4","3","4","6","3","4","4","6","5","4","5","20","1","1",NA,NA,"2","2","3.333333333","3","4","4.333333333","3.666666667","3.666666667","5","5","2","4","3","2","3","4","3.5","3.5"
"8","A506","5","3","3","2","2","3","4","5","5","3","2","2","6","2","5","6","3","3","5","5","5","2","2","2","6","20","1","1",NA,NA,"5","6","4.333333333","5.666666667","2.333333333","4","4.666666667","5","2.333333333","2","5","6","6","6","6","6","4.25","5.166666667"
"9","A506","2","6","1","1","1","5","1","1","1","6","7","7","1","7","1","5","1","1","1","1","1","7","7","7","5","21","1","1",NA,NA,"2","1","1.666666667","1","2.333333333","2.333333333","1","1","6.666666667","7","2","1","1","1","1","1","1.583333333","1.333333333"
"10","A506","5","5","4","2","7","1","5","4","3","5","2","2","6","1","5","2","3","3","5","6","6","3","4","1","7","21","0","1",NA,NA,"3","7","4","6","3.333333333","2.666666667","4","5.666666667","3","2.666666667","3","6","6","5","4","7","4.083333333","4.916666667"
"11","A506","2","1","2","2","2","2","2","2","2","5","5","6","2","2","1","2","3","2","2","1","2","5","5","6","2","18","1","1","-1","15","7","6","3.666666667","3","2","2.333333333","2","1.666666667","5.333333333","5.333333333","3","3","2","3","3","2","2.583333333","2.416666667"
"12","A506","3","6","2","4","3","2","1","2","2","6","5","5","4","3","5","5","6","5","4","4","4","5","3","4","4","20","1","1","-1","18","2","5","2.333333333","4.666666667","3","5.333333333","1.666666667","4","5.333333333","4","2","3","3","3","5","4","2.416666667","4.5"
"13","A506","5","2","5","5","5","5","5","2","5","2","2","2","6","2","6","6","6","6","6","6","6","2","2","2","6","20","1","1","-1","10","6","6","5.333333333","6","5","6","4","6","2","2","6","6","6","6","6","6","5.083333333","6"
"14","A506","4","5","3","1","1","4","2","2","2","6","6","6","1","7","1","1","1","2","1","1","1","7","7","7","5","18","1","2","1","30","3","1","3.333333333","1","2","1.333333333","2","1","6","7","2","2","2","1","1","1","2.333333333","1.083333333"
"15","A506","1","7","2","1","1","3","1","1","1","7","7","7","2","7","1","1","1","4","1","1","1","7","6","4","6","22","1","1","1","30","1","1","1.333333333","1.333333333","1.666666667","2","1","1","7","5.666666667","1","1","1","1","2","4","1.25","1.666666667"
"16","A506","2","5","3","2","3","4","2","2","3","6","5","7","3","5","5","6","5","5","5","2","5","3","3","4","7","18","1","1","-1","15","3","3","2.666666667","3.666666667","3","5.333333333","2.333333333","4","6","3.333333333","2","3","1","5","5","4","2.5","4.416666667"
"17","A506","6","5","3","5","5","5","3","3","3","6","5","5","2","7","3","3","3","4","3","2","2","6","5","6","6","20","1","1","-1","15","3","1","4","2","5","3.333333333","3","2.333333333","5.333333333","5.666666667","2","3","3","2","3","2","3.666666667","2.5"
"18","A506","4","3","4","3","4","4","4","4","3","4","3","3","5","3","5","4","3","3","4","4","4","3","3","3","6","19","0","1","1","25","5","5","4.333333333","5","3.666666667","3.333333333","3.666666667","4","3.333333333","3","4","5","5","5","5","5","4.083333333","4.333333333"
"19","A506","1","7","1","1","1","3","1","3","1","2","4","3","2","3","1","2","2","4","1","1","2","3","1","2","7","19","0","1","-1","15","1","5","1","2.666666667","1.666666667","2.666666667","1.666666667","1.333333333","3","2","6","4","5","5","7","6","2.333333333","3.166666667"
"20","A506","7","1","1","4","1","1","7","1","7","1","1","1","7","1","7","1","7","1","7","7","7","1","1","1","7","19","0","1","-1","13","7","7","5","7","2","3","5","7","1","1","7","7","7","7","7","7","4.75","6"
"21","A506","3","5","3","3","2","3","4","3","3","3","4","4","3","3","4","3","3","2","3","4","3","4","4","3","5","18","1","1","-1","15","3","5","3","4","2.666666667","2.666666667","3.333333333","3.333333333","3.666666667","3.666666667","5","4","4","4","4","5","3.333333333","3.583333333"
"22","A506","5","3","4","2","2","2","2","4","2","3","3","3","5","3","4","3","3","2","2","5","2","3","3","2","6","19","0","1","-1","15","5","5","4.666666667","4.666666667","2","2.666666667","2.666666667","3","3","2.666666667","5","5","5","5","5","6","3.583333333","3.916666667"
"23","A506","1","7","1","1","1","1","1","1","1","7","7","7","1","7","1","1","1","1","1","1","1","7","7","7","7","20","1","1","0","20","1","1","1","1","1","1","1","1","7","7","1","1","1","1","1","1","1","1"
"24","A506","1","7","1","1","2","3","2","1","1","7","7","7","2","7","1","1","2","4","1","1","1","7","7","7","6","20","0","1","-1","10","1","1","1","1.333333333","2","2.333333333","1.333333333","1","7","7","1","1","1","1","1","1","1.333333333","1.416666667"
"25","A506","1","5","1","2","1","1","1","1","1","7","7","5","1","5","1","2","4","4","1","1","1","5","5","5","6","21","0","1","-1","15","3","3","1.666666667","1.666666667","1.333333333","3.333333333","1","1","6.333333333","5","1","1","3","3","3","3","1.416666667","2.25"
"26","A506","3","5","3","2","2","5","2","3","3","5","5","5","6","3","5","4","5","5","5","4","4","3","2","3","5","18","1","1","-1","15","3","5","3","5.333333333","3","4.666666667","2.666666667","4.333333333","5","2.666666667","3","3","3","5","6","5","2.916666667","4.916666667"
"27","A506","3","6","3","2","2","2","1","3","2","6","5","5","1","6","2","2","1","2","1","2","1","6","6","5","5","18","0","1","0","15","2","2","2.666666667","1.666666667","2","1.666666667","2","1.333333333","5.333333333","5.666666667","2","3","3","2","2","3","2.333333333","1.75"
"28","A506","1","7","2","5","2","3","1","2","1","6","7","7","3","4","2","4","5","5","2","4","3","6","5","5","7","19","1","1","-1","15","1","4","1.333333333","3","3.333333333","4.666666667","1.333333333","3","6.666666667","5.333333333","2","1","1","2","3","3","1.833333333","3.333333333"
"29","A506","4","5","4","3","3","2","3","3","5","3","3","2","6","2","6","5","5","5","5","5","6","1","1","1","7","19","0","1","-1","10","3","6","3.666666667","6","2.666666667","5","3.666666667","5.333333333","2.666666667","1","5","5","6","7","7","7","3.833333333","5.833333333"
"30","A506","2","7","1","1","1","4","2","1","1","7","7","7","2","3","4","1","1","1","3","2","2","4","4","4","7","19","1","1","-1","10","1","5","1.333333333","3.666666667","2","1","1.333333333","2.333333333","7","4","1","1","1","4","4","4","1.416666667","2.75"
