con_dichoptic,con_monoptic,con_noise,con_cfs,inv_dichoptic,inv_monoptic,inv_noise,inv_cfs
0.513761468,0.236024845,0.387947269,0.287323944,0,0.049689441,0.116760829,0
0.4,0.274247492,0.363256785,0.830188679,0.073469388,0.033444816,0.171189979,0.641509434
0.306818182,0.161879896,0.28045977,0.481632653,0.25,0.287206266,0.216091954,0.710204082
0.264900662,0.21446384,0.456762749,0.101960784,0.278145695,0.194513716,0.128603104,0.175163399
0.277286136,0.244541485,0.378854626,0.549371634,0.135693215,0.183406114,0.105726872,0.161579892
0.276923077,0.250639386,0.329238329,0.069795427,0.092307692,0.10741688,0.093366093,0.002406739
0.384313725,0.257217848,0.386946387,0.010958904,0.211764706,0.141732283,0.219114219,0.065753425
0.256055363,0.159779614,0.262008734,0.231839258,0.269896194,0.071625344,0.200873362,0.102009274
0.243386243,0.156448203,0.392156863,0.184971098,0.490299824,0.071881607,0.141176471,-0.005780347
0.420711974,0.22,0.392523364,0.07073955,0.161812298,0.13,0.093457944,0.253376206
0.267100977,0.226912929,0.198595787,-0.326530612,0.136807818,0.121372032,-0.026078235,0.081632653
0.411347518,0.318537859,0.387931034,0.361165049,0.255319149,0.193211488,0.120689655,0.239482201
0.293948127,0.251655629,0.259927798,0.010695187,0.074927954,0.048565121,0.187725632,-0.021390374
0.267716535,0.097087379,0.339622642,0.136422136,0.188976378,0.194174757,0.094339623,0.095238095
0.168078176,0.287058824,0.440677966,0.183953033,0.050814332,0.221176471,0.127118644,-0.223091977
0.403940887,0.146031746,0.42,-0.009661836,0.02955665,0.006349206,0.12,0.144927536
0.41350211,0.196473552,0.398305085,0.016877637,0.227848101,0.136020151,0.13559322,0.135021097
0.4,0.19121447,0.36400818,0.093567251,0.133333333,0.036175711,0.102249489,0.245614035
0.225,0.365914787,0.395061728,0.073139975,0.2125,0.145363409,0.082304527,0.133669609
0.268907563,0.26744186,0.240700219,0.199488491,0.18487395,0.151162791,0.065645514,0.00511509
0.279069767,0.187155963,0.28376651,0.319880419,0.364341085,0.231192661,0.161056668,-0.18036871
0.352,0.275607959,0.428893905,0.203911777,-0.096,0.122328666,0.230248307,0.062421973
0.228571429,0.233438486,0.361556064,0.165495353,0.071428571,0.069400631,0.233409611,0.075719791
0.38869258,0.247524752,0.412556054,0.305882353,0.120141343,0.168316832,0.125560538,0.180392157